date,amount,price,sid,symbol,value
2019-08-06 23:59:59.999989+00:00,-100,234.25,0,ETH-USD,23425.0
2019-08-07 23:59:59.999989+00:00,100,225.93,0,ETH-USD,-22593.0
2019-08-08 23:59:59.999989+00:00,-100,226.52,0,ETH-USD,22652.0
2019-08-09 23:59:59.999989+00:00,100,220.91,0,ETH-USD,-22091.0
2019-08-10 23:59:59.999989+00:00,-100,210.53,0,ETH-USD,21053.0
2019-08-11 23:59:59.999989+00:00,100,206.73,0,ETH-USD,-20673.0
2019-09-25 23:59:59.999989+00:00,100,168.13,0,ETH-USD,-16813.0
2019-09-26 23:59:59.999989+00:00,-100,170.76,0,ETH-USD,17076.0
2019-09-27 23:59:59.999989+00:00,100,166.65,0,ETH-USD,-16665.0
2019-09-28 23:59:59.999989+00:00,-100,174.68,0,ETH-USD,17468.0
2019-09-29 23:59:59.999989+00:00,100,174.61,0,ETH-USD,-17461.0
2019-09-30 23:59:59.999989+00:00,-100,170.46,0,ETH-USD,17046.0
2019-11-11 23:59:59.999989+00:00,-100,189.5,0,ETH-USD,18950.0
2019-11-12 23:59:59.999989+00:00,100,185.56,0,ETH-USD,-18556.0
2019-11-13 23:59:59.999989+00:00,-100,186.94,0,ETH-USD,18694.0
2019-11-14 23:59:59.999989+00:00,100,188.27,0,ETH-USD,-18827.0
2019-11-15 23:59:59.999989+00:00,-100,186.06,0,ETH-USD,18606.0
2019-11-16 23:59:59.999989+00:00,100,180.5,0,ETH-USD,-18050.0
2019-11-17 23:59:59.999989+00:00,-100,183.35,0,ETH-USD,18335.0
2019-11-18 23:59:59.999989+00:00,100,185.04,0,ETH-USD,-18504.0
2019-12-02 23:59:59.999989+00:00,-100,151.18,0,ETH-USD,15118.0
2019-12-03 23:59:59.999989+00:00,100,149.06,0,ETH-USD,-14906.0
2019-12-04 23:59:59.999989+00:00,-100,147.92,0,ETH-USD,14791.999999999998
2019-12-05 23:59:59.999989+00:00,100,146.69,0,ETH-USD,-14669.0
2019-12-06 23:59:59.999989+00:00,-100,149.4,0,ETH-USD,14940.0
2019-12-07 23:59:59.999989+00:00,100,149.2,0,ETH-USD,-14919.999999999998
2019-12-08 23:59:59.999989+00:00,-100,148.74,0,ETH-USD,14874.0
2019-12-09 23:59:59.999989+00:00,100,151.22,0,ETH-USD,-15122.0
2019-12-30 23:59:59.999989+00:00,100,134.8,0,ETH-USD,-13480.000000000002
2019-12-31 23:59:59.999989+00:00,-100,132.61,0,ETH-USD,13261.000000000002
2020-01-01 23:59:59.999989+00:00,100,129.63,0,ETH-USD,-12963.0
2020-01-02 23:59:59.999989+00:00,-100,130.82,0,ETH-USD,13082.0
2020-01-03 23:59:59.999989+00:00,100,127.41,0,ETH-USD,-12741.0
2020-01-04 23:59:59.999989+00:00,-100,134.17,0,ETH-USD,13416.999999999998
2020-01-05 23:59:59.999989+00:00,100,135.07,0,ETH-USD,-13507.0
2020-01-06 23:59:59.999989+00:00,-100,136.31,0,ETH-USD,13631.0
2020-01-13 23:59:59.999989+00:00,100,146.22,0,ETH-USD,-14622.0
2020-01-14 23:59:59.999989+00:00,-100,144.25,0,ETH-USD,14425.0
2020-01-15 23:59:59.999989+00:00,100,165.73,0,ETH-USD,-16573.0
2020-01-16 23:59:59.999989+00:00,-100,166.33,0,ETH-USD,16633.0
2020-01-17 23:59:59.999989+00:00,100,164.49,0,ETH-USD,-16449.0
2020-01-18 23:59:59.999989+00:00,-100,170.75,0,ETH-USD,17075.0
2020-01-19 23:59:59.999989+00:00,100,175.47,0,ETH-USD,-17547.0
