DateTime,Close,Open,High,Low,Volume
15:40 23.05.22,1829.7,1824.7,1829.7,1824.6,984
15:45 23.05.22,1837.6,1829.7,1839.6,1829.6,1309
15:50 23.05.22,1831.6,1837.7,1839.6,1831.6,1302
15:55 23.05.22,1830.6,1831.6,1832.6,1829.6,1095
16:00 23.05.22,1828.7,1830.6,1830.6,1826.6,1051
16:05 23.05.22,1831.7,1828.6,1833.6,1828.6,1253
16:10 23.05.22,1831.6,1832.6,1834.6,1830.6,1220
16:15 23.05.22,1830.7,1832.6,1832.7,1828.7,994
16:20 23.05.22,1830.7,1830.6,1833.6,1830.6,890
16:25 23.05.22,1829.7,1831.6,1832.6,1827.6,988
16:30 23.05.22,1830.7,1830.7,1832.6,1828.7,894
16:35 23.05.22,1832.6,1831.7,1834.6,1830.6,1106
16:40 23.05.22,1832.7,1832.6,1835.6,1832.6,1116
16:45 23.05.22,1834.7,1832.7,1834.7,1831.6,1375
08:45 24.05.22,1815.6,1816.1,1817.7,1811.6,1194
08:50 24.05.22,1818.6,1814.7,1818.6,1814.7,573
08:55 24.05.22,1815.6,1817.6,1818.6,1815.6,529
09:00 24.05.22,1822.6,1815.7,1822.6,1815.7,944
09:05 24.05.22,1820.6,1821.7,1823.6,1819.6,977
09:10 24.05.22,1825.6,1819.7,1825.6,1818.6,778
09:15 24.05.22,1819.7,1825.6,1826.6,1819.6,788
09:20 24.05.22,1822.6,1819.7,1823.7,1819.7,715
09:25 24.05.22,1824.7,1823.6,1825.6,1821.6,811
09:30 24.05.22,1826.6,1824.6,1826.6,1822.6,643
09:35 24.05.22,1821.6,1825.7,1825.7,1818.6,1186
09:40 24.05.22,1821.6,1820.7,1822.7,1820.6,632
09:45 24.05.22,1818.6,1820.7,1820.7,1818.6,892
09:50 24.05.22,1820.7,1817.6,1820.7,1817.6,624
09:55 24.05.22,1821.6,1820.7,1821.7,1819.6,503
10:00 24.05.22,1821.6,1821.6,1824.6,1821.6,505
10:05 24.05.22,1821.7,1820.7,1822.6,1819.6,414
10:10 24.05.22,1825.7,1822.6,1826.6,1821.7,631
10:15 24.05.22,1825.7,1825.7,1827.6,1824.6,676
10:20 24.05.22,1827.6,1825.7,1827.6,1824.6,413
10:25 24.05.22,1826.7,1827.6,1828.7,1826.6,459
10:30 24.05.22,1825.6,1827.6,1827.6,1824.6,439
10:35 24.05.22,1826.6,1824.7,1826.6,1824.6,304
10:40 24.05.22,1822.7,1826.6,1826.6,1822.7,357
10:45 24.05.22,1825.6,1822.7,1826.6,1822.7,370
10:50 24.05.22,1823.6,1825.6,1825.7,1823.6,425
10:55 24.05.22,1823.6,1824.6,1824.6,1822.6,373
11:00 24.05.22,1821.6,1823.6,1824.6,1821.6,404
11:05 24.05.22,1821.6,1821.6,1822.6,1821.6,203
11:10 24.05.22,1823.6,1821.6,1823.6,1821.6,498
11:15 24.05.22,1822.6,1823.6,1824.6,1822.6,218
11:20 24.05.22,1821.6,1822.6,1823.6,1821.6,180
11:25 24.05.22,1823.6,1821.7,1823.6,1821.6,266
11:30 24.05.22,1823.7,1822.6,1823.7,1822.6,176
11:35 24.05.22,1825.6,1825.6,1827.6,1825.6,322
11:40 24.05.22,1825.6,1825.6,1825.6,1824.6,222
11:45 24.05.22,1826.7,1825.6,1826.7,1825.6,168
11:50 24.05.22,1827.6,1826.7,1829.6,1826.7,344
11:55 24.05.22,1828.6,1827.7,1829.6,1827.7,238
12:00 24.05.22,1827.6,1828.6,1828.6,1827.6,379
12:05 24.05.22,1830.6,1827.6,1831.6,1827.6,349
12:10 24.05.22,1831.6,1830.6,1832.6,1828.7,427
12:15 24.05.22,1832.7,1830.6,1833.6,1830.6,450
12:20 24.05.22,1832.7,1832.6,1833.6,1831.7,339
12:25 24.05.22,1833.6,1831.6,1833.6,1831.6,263
12:30 24.05.22,1833.6,1833.6,1834.6,1832.6,392
12:35 24.05.22,1833.7,1833.6,1834.6,1831.6,571
12:40 24.05.22,1835.6,1833.7,1835.6,1833.6,401
12:45 24.05.22,1835.7,1835.6,1836.6,1835.6,342
12:50 24.05.22,1832.7,1834.6,1835.6,1832.6,385
12:55 24.05.22,1836.6,1832.7,1836.6,1832.6,442
13:00 24.05.22,1839.6,1836.7,1839.6,1834.6,934
13:05 24.05.22,1842.6,1839.6,1843.6,1837.6,802
13:10 24.05.22,1843.6,1843.7,1845.6,1843.6,591
13:15 24.05.22,1844.6,1843.6,1845.6,1843.6,441
13:20 24.05.22,1842.6,1844.6,1844.6,1842.6,384
13:25 24.05.22,1843.6,1842.6,1844.7,1842.6,354
13:30 24.05.22,1843.7,1843.6,1844.7,1843.6,335
13:35 24.05.22,1840.6,1843.7,1843.7,1839.6,652
13:40 24.05.22,1843.6,1839.7,1843.6,1838.6,622
13:45 24.05.22,1842.7,1843.6,1843.6,1842.6,502
13:50 24.05.22,1842.6,1842.7,1844.6,1842.6,444
13:55 24.05.22,1843.7,1842.6,1844.6,1842.6,512
14:00 24.05.22,1845.6,1843.6,1845.6,1842.6,412
14:05 24.05.22,1844.6,1845.7,1845.7,1843.6,474
14:10 24.05.22,1843.6,1844.6,1844.6,1842.7,321
14:15 24.05.22,1842.7,1843.6,1843.6,1841.7,311
14:20 24.05.22,1843.6,1843.6,1843.6,1842.6,321
14:25 24.05.22,1842.6,1843.6,1845.6,1842.6,344
14:30 24.05.22,1841.7,1842.6,1842.6,1840.6,261
14:35 24.05.22,1840.6,1840.7,1841.7,1839.6,484
14:40 24.05.22,1839.6,1840.6,1840.6,1838.6,305
14:45 24.05.22,1839.7,1839.6,1840.6,1839.6,183
14:50 24.05.22,1838.6,1839.7,1840.6,1838.6,285
14:55 24.05.22,1833.7,1837.6,1837.6,1833.6,689
15:00 24.05.22,1831.7,1833.7,1834.6,1830.7,576
15:05 24.05.22,1833.7,1831.7,1833.7,1831.6,414
15:10 24.05.22,1834.6,1833.7,1835.6,1833.7,305
15:15 24.05.22,1836.6,1835.6,1837.6,1835.6,409
15:20 24.05.22,1838.7,1836.6,1839.6,1836.6,405
15:25 24.05.22,1834.7,1838.7,1838.7,1834.7,413
15:30 24.05.22,1832.6,1835.6,1837.6,1831.6,671
15:35 24.05.22,1830.6,1832.6,1834.6,1830.6,608
15:40 24.05.22,1832.6,1831.6,1833.7,1831.6,661
15:45 24.05.22,1834.7,1832.6,1836.6,1832.6,669
15:50 24.05.22,1836.7,1834.6,1839.6,1834.6,556
15:55 24.05.22,1836.7,1836.6,1837.7,1834.6,735
16:00 24.05.22,1829.7,1836.6,1837.6,1828.6,1350
16:05 24.05.22,1825.6,1829.7,1830.6,1825.6,1264
16:10 24.05.22,1821.6,1825.6,1826.6,1821.6,1042
16:15 24.05.22,1820.6,1821.6,1821.6,1818.6,1176
16:20 24.05.22,1821.6,1820.6,1824.6,1819.7,1004
16:25 24.05.22,1822.6,1821.6,1823.7,1820.6,782
16:30 24.05.22,1818.7,1822.6,1822.6,1818.6,1229
16:35 24.05.22,1815.7,1818.7,1818.7,1814.7,1284
16:40 24.05.22,1818.7,1815.7,1821.6,1815.6,972
16:45 24.05.22,1814.6,1817.7,1818.6,1814.6,885
08:45 25.05.22,1830.6,1822.1,1830.6,1821.7,1010
08:50 25.05.22,1832.7,1830.6,1834.6,1830.6,506
08:55 25.05.22,1833.7,1832.6,1835.6,1832.6,489
09:00 25.05.22,1827.6,1833.6,1833.7,1827.6,920
09:05 25.05.22,1831.6,1827.7,1832.7,1827.7,880
09:10 25.05.22,1829.6,1832.7,1832.7,1829.6,650
