Date,Open,High,Low,Close,Adj Close,Volume
2017-12-06,93.099998,93.699997,91.199997,91.269997,86.371323,427002
2017-12-07,90.160004,90.500000,88.000000,89.709999,84.895058,342111
2017-12-08,90.360001,91.300003,89.000000,90.019997,85.188416,177412
2017-12-11,90.379997,91.849998,90.059998,91.489998,86.579521,128489
2017-12-12,91.500000,92.559998,90.800003,92.279999,87.327118,267827
2017-12-13,92.000000,93.290001,91.680000,92.800003,87.819214,98532
2017-12-14,92.800003,96.500000,92.739998,96.500000,91.320625,289888
2017-12-15,96.300003,97.000000,95.309998,96.889999,91.689690,360326
2017-12-18,97.410004,99.699997,97.199997,98.500000,93.213280,205258
2017-12-19,98.300003,98.660004,96.160004,96.309998,91.140816,170819
2017-12-20,96.300003,98.800003,96.300003,96.389999,91.216522,317857
2017-12-21,96.250000,98.099998,95.000000,95.980003,90.828537,158265
2017-12-22,95.500000,96.099998,94.949997,95.000000,89.901131,93422
2017-12-25,95.000000,95.000000,95.000000,95.000000,89.901131,0
2017-12-26,95.000000,95.000000,95.000000,95.000000,89.901131,0
2017-12-27,95.500000,97.620003,94.370003,94.900002,89.806496,223174
2017-12-28,94.510002,96.790001,94.139999,96.790001,91.595055,110938
2017-12-29,96.199997,96.989998,95.120003,96.269997,91.102966,72480
2018-01-01,96.269997,96.269997,96.269997,96.269997,91.102966,0
2018-01-02,96.269997,96.269997,96.269997,96.269997,91.102966,0
2018-01-03,97.199997,99.800003,97.199997,99.500000,94.159607,377915
2018-01-04,99.500000,105.900002,99.500000,105.500000,99.837570,521775
2018-01-05,104.949997,106.300003,103.199997,104.250000,98.654663,308042
2018-01-08,104.000000,105.000000,102.650002,104.449997,98.843925,167344
2018-01-09,104.000000,106.000000,104.000000,105.800003,100.121475,250534
2018-01-10,104.949997,105.699997,103.099998,104.500000,98.891243,140780
2018-01-11,104.500000,105.900002,103.349998,104.599998,98.985878,176217
2018-01-12,104.599998,107.800003,104.599998,107.300003,101.540962,322607
2018-01-15,107.550003,108.900002,106.449997,108.150002,102.345337,161153
2018-01-16,108.150002,109.750000,106.400002,108.000000,102.203392,230730
2018-01-17,107.500000,109.099998,104.900002,106.000000,100.310738,280382
2018-01-18,106.500000,106.500000,103.699997,104.500000,98.891243,275766
2018-01-19,104.050003,105.250000,102.800003,105.000000,99.364410,235329
2018-01-22,105.250000,107.500000,104.849998,104.900002,99.269775,244536
2018-01-23,105.650002,106.900002,99.300003,100.099998,94.727402,449634
2018-01-24,100.500000,101.400002,96.599998,99.500000,94.159607,446087
2018-01-25,98.779999,101.900002,98.379997,99.120003,93.800003,195906
2018-01-26,99.099998,100.000000,98.199997,99.580002,94.235313,102806
2018-01-29,100.000000,101.300003,99.160004,101.000000,95.579094,167359
2018-01-30,101.000000,101.000000,101.000000,101.000000,95.579094,0
2018-01-31,100.000000,100.599998,97.120003,97.120003,91.907349,217662
2018-02-01,98.000000,99.580002,97.139999,99.400002,94.064972,253157
2018-02-02,99.099998,100.300003,98.300003,99.599998,94.254234,135043
2018-02-05,99.199997,101.400002,99.000000,101.199997,95.768356,127403
2018-02-06,97.000000,100.599998,96.599998,97.000000,91.793785,332067
2018-02-07,98.059998,102.150002,96.800003,100.349998,94.963982,381548
2018-02-08,102.949997,105.300003,101.000000,103.500000,97.944916,537372
2018-02-09,101.400002,102.900002,98.400002,98.779999,93.478249,518767
2018-02-12,99.779999,101.500000,98.839996,100.000000,94.632767,138164
2018-02-13,100.000000,101.400002,99.699997,101.000000,95.579094,119396
2018-02-14,101.000000,101.349998,98.699997,100.000000,94.632767,119607
2018-02-15,101.150002,101.750000,97.099998,97.099998,91.888420,323763
2018-02-16,98.099998,99.800003,98.099998,99.800003,94.443504,86218
2018-02-19,99.320000,101.500000,99.040001,99.699997,94.348869,89759
2018-02-20,99.019997,100.050003,98.099998,99.300003,93.970345,65175
2018-02-21,98.820000,99.500000,98.000000,99.220001,93.894630,99059
2018-02-22,99.000000,101.000000,97.239998,100.500000,95.105934,289962
2018-02-23,100.500000,101.449997,97.839996,97.839996,92.588699,139578
2018-02-26,98.500000,99.000000,98.040001,98.760002,93.459328,137158
2018-02-27,98.000000,98.419998,94.040001,95.300003,90.185028,400300
2018-02-28,94.919998,95.540001,92.139999,92.199997,87.251411,305238
2018-03-01,92.120003,94.120003,91.000000,93.500000,88.481636,283513
