DateTime,Close,Open,High,Low,Volume
10:00 10.03.22,1985.77,1983.75,1987.22,1976.6,37411
11:00 10.03.22,1999.49,1985.94,1999.99,1983.61,41679
12:00 10.03.22,2005.15,1999.47,2007.87,1998.77,36065
13:00 10.03.22,2002.83,2005.16,2009,1998.95,43162
14:00 10.03.22,1996.36,2002.8,2008.81,1991.54,61076
15:00 10.03.22,1997.02,1996.36,2006.78,1995.29,65516
16:00 10.03.22,1995.03,1996.87,1999.72,1981.47,80512
17:00 10.03.22,1994.87,1995.16,1999.43,1990.26,52378
18:00 10.03.22,2003.78,1994.85,2005.74,1994.82,54682
19:00 10.03.22,1997.66,2003.69,2005.85,1993.21,56611
20:00 10.03.22,1996.05,1997.7,1998.08,1993.94,36791
21:00 10.03.22,1997.45,1996.05,2003.22,1996.05,38261
22:00 10.03.22,1996.33,1997.54,1998.73,1995,8354
00:00 11.03.22,1995.15,1992.71,1998.85,1992.36,12576
01:00 11.03.22,1992.26,1995.19,1997.05,1991.31,12408
02:00 11.03.22,1992.33,1992.26,1995.2,1988.07,25366
03:00 11.03.22,1994.59,1992.33,1996.35,1991.74,13016
04:00 11.03.22,1990.78,1994.65,1995.13,1990.43,13754
05:00 11.03.22,1987.85,1990.75,1991.62,1985.82,14073
06:00 11.03.22,1983.49,1987.84,1988.73,1980.84,26020
07:00 11.03.22,1986.07,1983.43,1987.63,1982.8,19425
08:00 11.03.22,1991.41,1985.99,1992.44,1981.37,23239
09:00 11.03.22,1992.68,1991.4,1994.77,1987.9,19583
10:00 11.03.22,1989.45,1992.6,1994.18,1988.53,16118
11:00 11.03.22,1991.41,1989.45,1993.96,1988.88,14239
12:00 11.03.22,1979.47,1991.43,1991.86,1969.4,41941
13:00 11.03.22,1974.93,1979.38,1979.61,1961.75,46901
14:00 11.03.22,1961.8,1974.97,1977.25,1958.5,51362
15:00 11.03.22,1974.92,1961.87,1977.03,1959.46,58500
16:00 11.03.22,1980.64,1975.11,1981.8,1970.18,49976
17:00 11.03.22,1985.64,1980.64,1988.78,1978.2,46653
18:00 11.03.22,1986.66,1985.65,1989.88,1984.49,39097
19:00 11.03.22,1985.77,1986.64,1987.5,1980.3,35748
20:00 11.03.22,1985.33,1985.77,1987.87,1983.27,25136
21:00 11.03.22,1982.54,1985.34,1987.74,1981.9,27697
23:00 13.03.22,1980.11,1984.1,1989.65,1970.74,18883
00:00 14.03.22,1974.1,1980.26,1980.88,1972.15,12282
01:00 14.03.22,1976.94,1974.07,1978.7,1970,17731
02:00 14.03.22,1974.14,1976.92,1977.35,1971.42,23259
03:00 14.03.22,1972.48,1974.06,1975.62,1971.36,13665
04:00 14.03.22,1975.47,1972.5,1976.42,1971.51,13178
05:00 14.03.22,1977.38,1975.47,1977.47,1973.86,8671
06:00 14.03.22,1973.35,1977.35,1977.97,1971.16,16302
07:00 14.03.22,1976.76,1973.22,1978.42,1972.09,18212
08:00 14.03.22,1972.71,1976.53,1977.53,1972.65,18939
09:00 14.03.22,1967.37,1972.69,1973.28,1966.73,25636
10:00 14.03.22,1963.5,1967.37,1967.51,1959.6,29387
11:00 14.03.22,1961.42,1963.5,1966.44,1959.92,26789
12:00 14.03.22,1965.25,1961.46,1966.98,1954.4,33894
13:00 14.03.22,1964.25,1965.22,1967.81,1960.16,41109
14:00 14.03.22,1958.73,1964.26,1965.21,1949.56,59990
15:00 14.03.22,1955.91,1958.73,1961.02,1953.4,50008
16:00 14.03.22,1954.83,1955.83,1958.7,1952.27,35756
17:00 14.03.22,1960.96,1954.87,1961.23,1954.15,34988
18:00 14.03.22,1957.78,1960.96,1961.84,1956.55,34364
19:00 14.03.22,1950.92,1957.8,1958.31,1950.62,29890
20:00 14.03.22,1952.46,1950.92,1955.88,1950.51,29599
21:00 14.03.22,1950.47,1952.57,1954.04,1950.12,12871
23:00 14.03.22,1953.34,1950.78,1954.02,1950.78,5550
00:00 15.03.22,1952.07,1953.3,1954.48,1951.09,7768
01:00 15.03.22,1948.18,1952.09,1952.13,1945.46,18700
02:00 15.03.22,1941.04,1948.18,1950.45,1939.46,32763
03:00 15.03.22,1943.02,1941.06,1945.44,1940.92,19092
04:00 15.03.22,1942.1,1943.04,1943.64,1940.45,13223
05:00 15.03.22,1935.99,1942.08,1942.25,1935.96,16242
06:00 15.03.22,1925.93,1936.06,1936.27,1925.74,30166
07:00 15.03.22,1928.1,1926,1931.96,1924.8,27744
08:00 15.03.22,1929.1,1928.1,1935.38,1927.2,25920
09:00 15.03.22,1934.69,1929.25,1935.13,1926.3,26634
10:00 15.03.22,1931.57,1934.69,1934.79,1926.82,25374
11:00 15.03.22,1921.72,1931.56,1933.35,1921.68,22514
12:00 15.03.22,1926.31,1921.68,1926.78,1920.5,29483
13:00 15.03.22,1920.82,1926.34,1928.61,1919.14,44841
14:00 15.03.22,1922.8,1920.77,1925.46,1913.59,65127
15:00 15.03.22,1916.05,1922.86,1923.13,1906.92,60684
16:00 15.03.22,1925.07,1916.05,1927.01,1912.92,45745
17:00 15.03.22,1929.1,1925.08,1930.87,1920.86,44986
18:00 15.03.22,1924.24,1929.13,1929.76,1924.14,37516
19:00 15.03.22,1920.92,1924.23,1927.64,1919.54,30834
20:00 15.03.22,1916.53,1920.91,1921.86,1916.14,29173
21:00 15.03.22,1917.64,1916.73,1918.04,1913.72,11937
23:00 15.03.22,1915.96,1918,1920.44,1914.94,7214
00:00 16.03.22,1917.86,1915.96,1918.39,1915.88,4974
01:00 16.03.22,1920.92,1917.85,1922.52,1917.03,12932
02:00 16.03.22,1920.12,1920.9,1924.66,1919.86,23374
03:00 16.03.22,1920.57,1920.1,1923.14,1918.95,16245
04:00 16.03.22,1917.99,1920.42,1920.8,1917.66,10978
05:00 16.03.22,1916.65,1917.99,1918.28,1915.1,11376
